date,Unemployment Rate
1/1/2020,3.2
2/1/2020,3.3
3/1/2020,3.4
4/1/2020,3.5
5/1/2020,3.6
6/1/2020,3.7
7/1/2020,3.7
8/1/2020,3.8
9/1/2020,3.8
10/1/2020,3.9
11/1/2020,3.9
12/1/2020,3.9
1/1/2021,3.8
2/1/2021,3.8
3/1/2021,3.8
4/1/2021,3.7
5/1/2021,3.7
6/1/2021,3.6
7/1/2021,3.5
8/1/2021,3.5
9/1/2021,3.4
10/1/2021,3.4
11/1/2021,3.3
12/1/2021,3.3
1/1/2022,3.2
2/1/2022,3.2
3/1/2022,3.2
4/1/2022,3.2
5/1/2022,3.2
6/1/2022,3.1
7/1/2022,3.1
8/1/2022,3.1
9/1/2022,3.1
10/1/2022,3.1
11/1/2022,3.1
12/1/2022,3.1
1/1/2023,3.1
2/1/2023,3.1
3/1/2023,3
4/1/2023,3
5/1/2023,3
6/1/2023,3
7/1/2023,3.1
8/1/2023,3.1
9/1/2023,3.1
10/1/2023,3.1
11/1/2023,3.2
12/1/2023,3.2
1/1/2024,3.3
2/1/2024,3.3
3/1/2024,3.3
4/1/2024,3.3
5/1/2024,3.4
6/1/2024,3.4
7/1/2024,3.4
8/1/2024,3.4
9/1/2024,3.5
10/1/2024,3.5
11/1/2024,3.5
12/1/2024,3.5
1/1/2025,3.6
